date,adm_level,adm_id,state,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
11/08/2022,1,1892,Kedah,290,63.00345,79.21092,235.73448,230.48367,769.2759,660.4485,80.753716,102.2298,116.35399,final
21/08/2022,1,1892,Kedah,290,108.99655,110.6223,261.5862,264.12012,813.2483,681.33276,98.59392,99.05845,119.22034,final
01/09/2022,1,1892,Kedah,290,70.94827,101.656784,242.94827,291.49,784.43787,711.56757,71.2081,83.62788,110.16935,final
11/09/2022,1,1892,Kedah,290,77.293106,105.17735,257.2379,317.45642,792.7207,748.42883,74.69149,81.32507,105.87871,final
21/09/2022,1,1892,Kedah,290,85.8,100.18104,234.04138,307.01517,754.5621,788.1922,86.32735,76.61211,95.760155,final
01/10/2022,1,1892,Kedah,290,138.27242,128.83723,301.36554,334.19562,810.46204,847.93896,107.049736,90.3212,95.60614,final
11/10/2022,1,1892,Kedah,290,127.51724,123.71195,351.58966,352.73022,844.562,900.67035,102.95645,99.68117,93.80477,final
21/10/2022,1,1892,Kedah,290,157.1069,138.29356,422.89658,390.84277,918.5242,961.978,113.129234,108.09761,95.50622,final
01/11/2022,1,1892,Kedah,290,110.96896,94.10667,395.5931,356.11218,939.907,981.7978,117.01429,110.93315,95.754875,final
11/11/2022,1,1892,Kedah,290,103.56896,89.86529,371.64484,322.2655,980.4724,992.4522,114.445404,115.08846,98.79896,final
21/11/2022,1,1892,Kedah,290,61.9,80.64724,276.43793,264.6192,933.37585,962.4771,78.1111,104.38349,96.99204,final
01/12/2022,1,1892,Kedah,290,185.41379,73.40747,350.88275,243.92,1047.8414,934.2278,242.8516,142.97073,112.0965,final
11/12/2022,1,1892,Kedah,290,111.52414,62.671036,358.83792,216.72575,1082.0725,891.7215,172.19205,164.09367,121.22744,final
21/12/2022,1,1892,Kedah,290,39.603447,56.11908,336.54138,192.19759,1035.8759,847.65955,72.97794,173.19754,122.074036,final
01/01/2023,1,1892,Kedah,290,91.87586,36.81517,243.00345,152.15115,989.4793,753.9038,231.67636,157.81204,131.04155,final
11/01/2023,1,1892,Kedah,290,91.08965,29.090115,222.56897,120.98391,953.05176,659.6484,281.86957,180.63336,144.14415,final
21/01/2023,1,1892,Kedah,290,130.86897,35.21701,313.83447,101.1223,926.8138,559.12036,337.83957,300.4406,165.17996,final
01/02/2023,1,1892,Kedah,290,64.85172,23.372068,286.81033,87.6792,880.6966,488.11334,246.19891,314.86066,179.61319,final
11/02/2023,1,1892,Kedah,290,20.068966,37.9677,215.78967,96.556786,797.19653,435.2999,58.343742,217.40515,182.19322,final
21/02/2023,1,1892,Kedah,290,16.868965,30.14862,101.78965,91.48839,752.1655,380.64804,62.21856,110.67617,196.33589,final
01/03/2023,1,1892,Kedah,290,46.806896,48.941265,83.74483,117.05759,613.55865,356.88794,96.04317,72.707344,170.92546,final
11/03/2023,1,1892,Kedah,290,9.4758625,56.3977,73.151726,135.48758,511.5103,353.0283,23.577206,55.62892,144.26523,final
21/03/2023,1,1892,Kedah,290,55.772415,108.64667,112.055176,213.98563,527.67926,406.5963,53.47488,53.45336,129.41788,final
01/04/2023,1,1892,Kedah,290,78.57586,75.855286,143.82413,240.89966,514.3793,445.63644,103.36474,60.5223,115.25461,final
11/04/2023,1,1892,Kedah,290,42.34138,82.64724,176.68965,267.1492,465.63104,499.19357,54.013546,66.76105,93.34332,final
21/04/2023,1,1892,Kedah,290,87.59655,94.02793,208.5138,252.53046,422.3586,558.00446,93.50549,82.90817,75.90679,final
01/05/2023,1,1892,Kedah,290,110.055176,88.571266,239.9931,265.24643,467.56207,623.2037,122.959946,90.65545,75.22434,final
11/05/2023,1,1892,Kedah,290,77.3069,86.15471,274.95862,268.7539,524.8,671.3907,90.29363,102.266525,78.327515,final
21/05/2023,1,1892,Kedah,290,77.04828,89.738045,264.41034,264.46402,584.9793,730.9801,86.605415,99.98008,80.1624,final
01/06/2023,1,1892,Kedah,290,92.151726,71.42195,246.5069,247.31471,630.32416,753.4608,127.12542,99.67984,83.76493,final
